threshold,precision,recall,f1
0.05,0.31197301854974707,0.9893048128342246,0.47435897435897434
0.060000000000000005,0.31833910034602075,0.983957219251337,0.481045751633987
0.07,0.3230633802816901,0.9812834224598931,0.4860927152317881
0.08000000000000002,0.32854578096947934,0.9786096256684492,0.49193548387096775
0.09000000000000001,0.33455210237659966,0.9786096256684492,0.49863760217983655
0.1,0.34269662921348315,0.9786096256684492,0.507628294036061
0.11000000000000001,0.3469194312796208,0.9786096256684492,0.5122463261021694
0.12000000000000001,0.3507246376811594,0.9705882352941176,0.5152590489709014
0.13,0.3542074363992172,0.9679144385026738,0.5186246418338109
0.14,0.35984095427435386,0.9679144385026738,0.5246376811594203
0.15000000000000002,0.3641851106639839,0.9679144385026738,0.5292397660818714
0.16000000000000003,0.36751269035532996,0.9679144385026738,0.5327446651949963
0.17000000000000004,0.3711340206185567,0.9625668449197861,0.5357142857142857
0.18000000000000005,0.3731656184486373,0.9518716577540107,0.536144578313253
0.19,0.37780149413020275,0.946524064171123,0.5400457665903889
0.2,0.38038793103448276,0.9438502673796791,0.5422427035330262
0.21000000000000002,0.381936887921654,0.9385026737967914,0.5429234338747099
0.22000000000000003,0.3842746400885936,0.9278074866310161,0.543461237274863
0.23000000000000004,0.3877094972067039,0.9278074866310161,0.5468873128447597
0.24000000000000005,0.3905191873589165,0.9251336898395722,0.5492063492063493
0.25000000000000006,0.39631336405529954,0.9197860962566845,0.5539452495974235
0.26000000000000006,0.3988372093023256,0.9171122994652406,0.5559157212317667
0.27,0.40352941176470586,0.9171122994652406,0.5604575163398693
0.28,0.41007194244604317,0.9144385026737968,0.5662251655629139
0.29000000000000004,0.4165651644336175,0.9144385026737968,0.5723849372384936
0.30000000000000004,0.4204685573366215,0.9117647058823529,0.5755274261603376
0.31000000000000005,0.42216687422166876,0.9064171122994652,0.5760407816482582
0.32000000000000006,0.42297979797979796,0.8957219251336899,0.5746140651801028
0.33,0.4274711168164313,0.8903743315508021,0.5776235906331308
0.34,0.4294954721862872,0.8877005347593583,0.5789014821272885
0.35000000000000003,0.4319371727748691,0.8823529411764706,0.5799648506151142
0.36000000000000004,0.4351851851851852,0.8796791443850267,0.5823008849557523
0.37000000000000005,0.4427994616419919,0.8796791443850267,0.5890778871978514
0.38000000000000006,0.4465753424657534,0.8716577540106952,0.5905797101449276
0.39000000000000007,0.4520166898470097,0.8689839572192514,0.5946935041171088
0.4000000000000001,0.4589928057553957,0.8529411764705882,0.5968194574368568
0.4100000000000001,0.4654919236417034,0.8475935828877005,0.6009478672985782
0.42000000000000004,0.47192716236722304,0.8315508021390374,0.6021297192642787
0.43000000000000005,0.47692307692307695,0.8288770053475936,0.60546875
0.44000000000000006,0.4828125,0.8262032085561497,0.6094674556213017
0.45000000000000007,0.492776886035313,0.820855614973262,0.6158475426278835
0.4600000000000001,0.498371335504886,0.8181818181818182,0.6194331983805669
0.4700000000000001,0.5041459369817579,0.8128342245989305,0.6223132036847493
0.4800000000000001,0.5075885328836425,0.8048128342245989,0.6225439503619441
0.49000000000000005,0.5120274914089347,0.7967914438502673,0.6234309623430961
0.5000000000000001,0.5157342657342657,0.7887700534759359,0.623678646934461
0.5100000000000001,0.5159010600706714,0.7807486631016043,0.6212765957446809
0.5200000000000001,0.5207207207207207,0.7727272727272727,0.6221743810548978
0.5300000000000001,0.5259259259259259,0.7593582887700535,0.6214442013129102
0.5400000000000001,0.5320754716981132,0.7540106951871658,0.6238938053097345
0.5500000000000002,0.5375722543352601,0.7459893048128342,0.6248600223964167
0.5600000000000002,0.5401174168297456,0.7379679144385026,0.623728813559322
0.5700000000000002,0.5470941883767535,0.7299465240641712,0.6254295532646048
0.5800000000000002,0.5567010309278351,0.7219251336898396,0.6286379511059371
0.5900000000000002,0.5567226890756303,0.7085561497326203,0.6235294117647059
0.6000000000000002,0.5643776824034334,0.7032085561497327,0.6261904761904761
0.6100000000000001,0.5787139689578714,0.6978609625668449,0.6327272727272727
0.6200000000000001,0.5804988662131519,0.6844919786096256,0.6282208588957054
0.6300000000000001,0.5874125874125874,0.6737967914438503,0.6276463262764632
0.6400000000000001,0.5913461538461539,0.6577540106951871,0.6227848101265824
0.6500000000000001,0.5965346534653465,0.6443850267379679,0.6195372750642674
0.6600000000000001,0.6005089058524173,0.6310160427807486,0.6153846153846153
0.6700000000000002,0.6094986807387863,0.6176470588235294,0.6135458167330677
0.6800000000000002,0.6141304347826086,0.6042780748663101,0.6091644204851752
0.6900000000000002,0.6194444444444445,0.5962566844919787,0.6076294277929156
0.7000000000000002,0.6347826086956522,0.5855614973262032,0.6091794158553547
0.7100000000000002,0.6374622356495468,0.5641711229946524,0.5985815602836879
0.7200000000000002,0.6509433962264151,0.553475935828877,0.5982658959537572
0.7300000000000002,0.6633663366336634,0.5374331550802139,0.5937961595273266
0.7400000000000002,0.6677966101694915,0.5267379679144385,0.5889387144992526
0.7500000000000002,0.6807017543859649,0.5187165775401069,0.5887708649468892
0.7600000000000002,0.6863468634686347,0.49732620320855614,0.5767441860465117
0.7700000000000002,0.694980694980695,0.48128342245989303,0.5687203791469194
0.7800000000000001,0.7033898305084746,0.44385026737967914,0.5442622950819672
0.7900000000000001,0.7168949771689498,0.4197860962566845,0.5295109612141653
0.8000000000000002,0.7277227722772277,0.393048128342246,0.5104166666666666
0.8100000000000002,0.7166666666666667,0.3449197860962567,0.4657039711191336
0.8200000000000002,0.7345679012345679,0.3181818181818182,0.44402985074626866
0.8300000000000002,0.7253521126760564,0.27540106951871657,0.3992248062015504
