model,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std
logreg_balanced,0.8477898201948694,0.011733329884705785,0.6647139059070832,0.025813756251358913
hgb,0.832610099475352,0.00841092627977703,0.6457846798904974,0.011179703160760477
svc_rbf,0.8267562872429632,0.009291195102518066,0.6044284930461241,0.013664156578915374
